City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Luau,AO,2022-09-22 17:02:25,-10.7073,22.2247,77.56,50,69,6.31
92,Tezu,IN,2022-09-22 17:03:25,27.9167,96.1667,74.26,97,80,3.74
93,Isla Mujeres,MX,2022-09-22 17:03:26,21.2311,-86.731,86.16,68,2,5.35
94,Duncan,US,2022-09-22 17:03:26,34.5023,-97.9578,82.29,47,0,13.8
95,Pavino,RU,2022-09-22 17:03:27,59.1139,46.1414,48.02,89,100,5.86
96,Lively,CA,2022-09-22 17:00:10,46.4334,-81.1498,49.01,64,100,13.67
97,Menongue,AO,2022-09-22 17:03:27,-14.6585,17.691,77.99,10,1,4.97
98,Salinopolis,BR,2022-09-22 17:03:28,-0.6136,-47.3561,84.51,62,65,10.38
99,Saint George,US,2022-09-22 17:06:50,37.1041,-113.5841,80.26,51,20,5.75
100,Port Lincoln,AU,2022-09-22 17:08:46,-34.7333,135.8667,54.64,82,75,2.68
101,Grindavik,IS,2022-09-22 17:08:46,63.8424,-22.4338,48.67,81,75,11.5
102,Nipawin,CA,2022-09-22 17:08:47,53.3668,-104.0009,56.57,37,0,12.55
103,Mardin,TR,2022-09-22 17:08:47,37.3131,40.7436,69.06,50,40,6.91
104,Alyangula,AU,2022-09-22 17:08:47,-13.8483,136.4192,77.07,85,63,4.34
105,Ahipara,NZ,2022-09-22 17:03:31,-35.1667,173.1667,51.75,92,13,3.83
106,Neuquen,AR,2022-09-22 17:02:33,-38.9516,-68.0591,64.74,34,68,23.04
107,Ponta Delgada,PT,2022-09-22 17:03:31,37.7333,-25.6667,77.72,78,20,11.5
108,Maniitsoq,GL,2022-09-22 17:03:32,65.4167,-52.9,41.14,97,100,22.06
109,Sovetskiy,RU,2022-09-22 17:03:32,61.3614,63.5842,42.44,63,1,5.08
110,Angoche,MZ,2022-09-22 17:03:32,-16.2325,39.9086,75.43,77,1,9.37
111,Coari,BR,2022-09-22 17:03:33,-4.085,-63.1414,100.62,28,9,0.98
