City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
128,Tasiilaq,GL,2022-09-25 03:16:14,65.6145,-37.6368,41.16,29,0,47.4,clear sky
129,Mazatlan,MX,2022-09-25 03:16:14,23.2167,-106.4167,85.01,86,40,3.44,scattered clouds
130,Alofi,NU,2022-09-25 03:16:15,-19.0595,-169.9187,80.49,69,50,12.66,scattered clouds
131,Porosozero,RU,2022-09-25 03:16:15,62.7191,32.727,42.08,91,100,10.56,light rain
132,Emerald,AU,2022-09-25 03:16:16,-23.5333,148.1667,82.35,34,0,2.64,clear sky
133,Thompson,CA,2022-09-25 03:16:17,55.7435,-97.8558,55.56,67,75,5.75,broken clouds
134,Bud,US,2022-09-25 03:16:17,39.447,-86.1758,67.05,80,50,7.63,scattered clouds
135,Norman Wells,CA,2022-09-25 03:16:18,65.282,-126.8329,39.24,75,75,2.3,broken clouds
136,Boguchany,RU,2022-09-25 03:16:18,58.3814,97.4531,36.39,93,100,3.44,light rain
137,Sept-Iles,CA,2022-09-25 03:16:18,50.2001,-66.3821,46.4,67,20,11.5,few clouds
138,Alta Floresta,BR,2022-09-25 03:15:51,-9.8756,-56.0861,77.49,56,37,4.14,scattered clouds
139,Sitka,US,2022-09-25 03:17:19,57.0531,-135.33,55.29,71,100,8.05,overcast clouds
140,Broken Hill,AU,2022-09-25 03:17:19,-31.95,141.4333,77.36,26,74,15.23,broken clouds
141,Guerrero Negro,MX,2022-09-25 03:14:55,27.9769,-114.0611,74.16,75,0,13.31,clear sky
142,Buchanan,LR,2022-09-25 03:17:20,5.8808,-10.0467,74.07,93,100,7.49,heavy intensity rain
143,Peniche,PT,2022-09-25 03:17:20,39.3558,-9.3811,62.29,84,3,24.67,clear sky
144,Rodrigues Alves,BR,2022-09-25 03:17:21,-7.738,-72.6509,74.07,83,96,1.21,overcast clouds
145,Hilo,US,2022-09-25 03:17:21,19.7297,-155.09,81.28,91,100,5.01,overcast clouds
146,Steamboat Springs,US,2022-09-25 03:12:45,40.485,-106.8317,55.94,51,0,4.61,clear sky
147,Atuona,PF,2022-09-25 03:17:22,-9.8,-139.0333,76.86,75,33,18.41,scattered clouds
148,Tessalit,ML,2022-09-25 03:17:22,20.1986,1.0114,89.31,20,60,7.27,broken clouds
149,Mongo,TD,2022-09-25 03:17:22,12.1844,18.693,78.22,76,69,4.32,broken clouds
150,Port Lincoln,AU,2022-09-25 03:17:23,-34.7333,135.8667,54.57,95,100,9.13,moderate rain
151,Ampanihy,MG,2022-09-25 03:17:23,-24.7,44.75,65.93,66,0,6.08,clear sky
152,Souillac,MU,2022-09-25 03:17:24,-20.5167,57.5167,71.98,68,40,11.5,scattered clouds
153,Arraial Do Cabo,BR,2022-09-25 03:17:24,-22.9661,-42.0278,66.65,71,2,5.41,clear sky
154,Nahrin,AF,2022-09-25 03:17:24,36.0649,69.1334,69.19,20,0,2.57,clear sky
155,Klaksvik,FO,2022-09-25 03:17:25,62.2266,-6.589,52.72,73,100,29.66,overcast clouds
156,Atikokan,CA,2022-09-25 03:17:25,48.7555,-91.6216,48.65,99,100,0.11,overcast clouds
157,Hun,LY,2022-09-25 03:17:26,29.1268,15.9477,69.98,71,0,4.0,clear sky
158,Rawson,AR,2022-09-25 03:17:26,-43.3002,-65.1023,50.02,67,2,7.02,clear sky
159,Beckley,US,2022-09-25 03:17:26,37.7782,-81.1882,59.41,76,100,5.75,overcast clouds
160,Bogande,BF,2022-09-25 03:17:27,12.9714,-0.1436,76.08,79,95,7.09,overcast clouds
161,Griffith,US,2022-09-25 03:17:27,41.5284,-87.4237,66.06,84,75,3.44,broken clouds
162,Janoshalma,HU,2022-09-25 03:17:28,46.2986,19.3258,56.35,49,100,5.97,overcast clouds
163,Kodiak,US,2022-09-25 03:17:28,57.79,-152.4072,49.51,66,0,10.36,clear sky
164,Ancud,CL,2022-09-25 03:17:28,-41.8697,-73.8203,45.23,88,62,2.26,broken clouds
165,Mahebourg,MU,2022-09-25 03:17:29,-20.4081,57.7,71.89,68,40,11.5,scattered clouds
166,Rocha,UY,2022-09-25 03:17:29,-34.4833,-54.3333,47.77,78,100,5.64,overcast clouds
167,Kerrville,US,2022-09-25 03:13:47,30.0474,-99.1403,80.55,66,40,3.44,scattered clouds
168,Zhigansk,RU,2022-09-25 03:17:30,66.7697,123.3711,35.02,88,100,6.91,overcast clouds
169,Katsuura,JP,2022-09-25 03:17:30,35.1333,140.3,78.82,68,22,19.22,few clouds
170,Padang,ID,2022-09-25 03:17:31,-0.9492,100.3543,82.45,74,100,1.34,overcast clouds
171,Provideniya,RU,2022-09-25 03:17:31,64.3833,-173.3,39.2,68,100,8.88,overcast clouds
172,Hlatikulu,SZ,2022-09-25 03:17:31,-26.9667,31.3167,56.55,88,0,3.11,clear sky
173,Karratha,AU,2022-09-25 03:17:32,-20.7377,116.8463,88.47,17,1,8.14,clear sky
174,Nishihara,JP,2022-09-25 03:17:32,26.1842,127.7558,85.28,77,75,12.66,broken clouds
175,Vila,PT,2022-09-25 03:17:33,42.0304,-8.1588,46.71,81,22,5.48,few clouds
176,Cape Town,ZA,2022-09-25 03:13:36,-33.9258,18.4232,54.09,87,0,5.75,clear sky
177,Pisco,PE,2022-09-25 03:17:33,-13.7,-76.2167,59.05,82,0,3.44,clear sky
178,Nanortalik,GL,2022-09-25 03:17:34,60.1432,-45.2371,42.49,95,100,6.93,overcast clouds
179,Charters Towers,AU,2022-09-25 03:17:34,-20.1,146.2667,89.49,33,13,9.6,few clouds
180,Astoria,US,2022-09-25 03:13:26,46.1879,-123.8313,62.6,82,0,9.22,clear sky
181,Kangaatsiaq,GL,2022-09-25 03:17:35,68.3065,-53.4641,35.1,73,30,12.46,scattered clouds
182,Broome,US,2022-09-25 03:17:35,42.2506,-75.833,54.32,78,100,0.0,overcast clouds
183,Kavaratti,IN,2022-09-25 03:17:35,10.5669,72.642,82.26,71,55,11.21,broken clouds
184,Sorland,NO,2022-09-25 03:17:36,67.667,12.6934,49.86,71,25,19.04,scattered clouds
185,The Valley,AI,2022-09-25 03:18:36,18.217,-63.0578,82.26,71,99,12.57,overcast clouds
186,Ayan,RU,2022-09-25 03:18:37,56.45,138.1667,44.38,90,100,20.0,light rain
187,Asola,IT,2022-09-25 03:18:37,45.2211,10.4136,61.02,92,100,4.47,overcast clouds
188,Dingle,PH,2022-09-25 03:18:38,10.9995,122.6711,85.86,69,100,8.5,overcast clouds
189,Hovd,MN,2022-09-25 03:18:38,48.0056,91.6419,58.71,36,79,2.71,broken clouds
190,Tochigi,JP,2022-09-25 03:18:39,36.3833,139.7333,78.12,48,61,4.09,broken clouds
191,Port Blair,IN,2022-09-25 03:18:39,11.6667,92.75,84.24,79,40,4.61,mist
192,Mackay,AU,2022-09-25 03:18:40,-21.15,149.2,82.69,71,6,10.25,clear sky
193,Fortuna,US,2022-09-25 03:14:01,40.5982,-124.1573,60.1,88,0,3.42,clear sky
194,Verkhoyansk,RU,2022-09-25 03:18:40,67.5447,133.385,35.04,55,89,3.83,overcast clouds
195,Nurota,UZ,2022-09-25 03:18:40,40.5614,65.6886,75.52,19,0,2.21,clear sky
196,Youhao,CN,2022-09-25 03:18:41,47.8667,128.8333,70.68,37,8,11.12,clear sky
197,San Felipe,VE,2022-09-25 03:18:41,10.3399,-68.7425,72.77,95,100,2.8,overcast clouds
198,Faanui,PF,2022-09-25 03:18:42,-16.4833,-151.75,77.83,75,8,19.66,clear sky
199,Cache Creek,CA,2022-09-25 03:18:42,50.8101,-121.3246,57.65,71,56,2.53,broken clouds
200,Zhanakorgan,KZ,2022-09-25 03:18:43,43.9098,67.2495,77.61,22,0,4.7,clear sky
201,Hithadhoo,MV,2022-09-25 03:18:43,-0.6,73.0833,80.46,74,100,7.87,heavy intensity rain
202,Manokwari,ID,2022-09-25 03:18:44,-0.8667,134.0833,79.41,82,100,14.05,overcast clouds
203,Navahrudak,BY,2022-09-25 03:18:44,53.6,25.8333,44.67,70,100,6.93,overcast clouds
204,Arrifes,PT,2022-09-25 03:18:44,37.7667,-25.7,69.24,88,75,8.05,light rain
205,Ewa Beach,US,2022-09-25 03:16:43,21.3156,-158.0072,82.35,70,100,13.8,moderate rain
206,Shwebo,MM,2022-09-25 03:18:45,22.5667,95.7,85.06,69,72,3.2,broken clouds
