,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
327,Bosaso,SO,86.11,scattered clouds,11.2842,49.1816,Red Sea Hotel
331,Gumia,IN,82.24,overcast clouds,23.7833,85.8167,Veer Mistan
333,Komsomolskiy,UZ,74.12,clear sky,40.4272,71.7189,Ikathouse
337,Half Moon Bay,US,76.87,fog,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
338,Kushiro,JP,74.35,few clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
341,Ilam,NP,71.22,overcast clouds,26.9167,87.9167,चियाबारी कटेज
342,Ismailia,EG,72.91,scattered clouds,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
344,Wildomar,US,84.87,clear sky,33.5989,-117.28,Usda Forest Services
347,Ankpa,NG,70.3,overcast clouds,7.3706,7.6253,AA Suites
348,Ayorou,NE,86.59,broken clouds,14.7308,0.9174,Hotel Amenokal
352,Baturaja,ID,86.79,clear sky,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
353,Karaton,ID,86.92,scattered clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
357,Sola,VU,80.96,scattered clouds,-13.8833,167.55,Leumerus Bungalows
358,Houma,US,80.6,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
359,Kefar Yona,IL,73.65,clear sky,32.3167,34.9351,Anandu
363,Kota Belud,MY,86.95,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
364,Maumere,ID,85.21,scattered clouds,-8.6199,122.2111,Sylvia Hotel
365,Port-Gentil,GA,76.19,light rain,-0.7193,8.7815,Fengshui Residence
367,Shaowu,CN,86.72,clear sky,27.3409,117.4831,Yijie Express Hotel
369,Rizhao,CN,71.35,clear sky,35.4275,119.4553,Novotel Rizhao Suning
371,Moerai,PF,71.53,few clouds,-22.4333,-151.3333,Le Manotel
377,Nanzhou,CN,70.11,overcast clouds,29.3596,112.4024,兴禹国际大酒店
378,Saint George,US,81.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
383,Koundara,GN,72.59,overcast clouds,12.4833,-13.3,Residance B....
384,Curillo,CO,70.9,overcast clouds,1.0333,-75.9191,CASA CLUB
392,Chumphon,TH,79.63,overcast clouds,10.3333,98.8333,สกาน จ๋า.
396,Harlingen,US,82.89,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
402,Kankon,IN,78.85,broken clouds,15.0167,74.0167,Palolem Beach Resort
403,Aksu,CN,72.55,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
404,Jalu,LY,71.64,few clouds,29.0331,21.5482,صاحبة الفخامة
406,Fukue,JP,79.16,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
407,Nieuw Amsterdam,SR,81.01,overcast clouds,5.8833,-55.0833,Hotel Stardust
409,Maragogi,BR,76.84,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
410,Tlapacoyan,MX,72.68,broken clouds,19.9667,-97.2167,Hotel San Diego
411,Nabire,ID,79.63,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
413,Alugan,PH,84.25,overcast clouds,12.2188,125.4808,JM Lodge
414,Martapura,ID,84.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
415,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
417,Mindelo,CV,78.35,clear sky,16.8901,-24.9804,Hotel Gaudi
419,Fernley,US,75.02,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
422,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
424,Kaduqli,SD,71.35,broken clouds,11.0167,29.7167,Nussyba
426,Paka,MY,89.53,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
428,Tezu,IN,74.25,overcast clouds,27.9167,96.1667,Circuit House
431,Gilgit,PK,72.88,scattered clouds,35.9221,74.3087,Tourist Hamlet Gilgit
433,Ambunti,PG,88.66,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
436,Nashville,US,75.51,overcast clouds,36.1659,-86.7844,Sheraton Grand Nashville Downtown
443,Sabang,ID,82.51,overcast clouds,5.8933,95.3214,Hotel Citra
446,Bo Phloi,TH,82.65,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
448,Bilma,NE,88.14,clear sky,18.6853,12.9164,Expeditions Ténére voyages
449,Grand-Lahou,CI,74.64,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
450,Bambous Virieux,MU,71.85,scattered clouds,-20.3428,57.7575,Casa Tia Villa
451,Yulara,AU,85.73,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
453,Quatre Cocos,MU,71.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
456,Baliwagan,PH,82.04,light rain,10.3971,122.8911,Casa de Mae
457,San Policarpo,PH,84.79,overcast clouds,12.1791,125.5072,Agapita M. Nicart
460,Ixtapa,MX,83.43,broken clouds,20.7,-105.2,hotel la terminal
463,Nelson Bay,AU,71.1,clear sky,-32.7167,152.15,Mantra Nelson Bay
466,Seoul,KR,72.97,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
468,Marawi,PH,79.48,overcast clouds,7.9986,124.2928,Derogongan Residence
471,Laguna,US,83.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
472,Mana,GF,78.08,broken clouds,5.6592,-53.7767,LE SAMANA
473,Khuzdar,PK,73.06,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
474,Sur,OM,85.46,few clouds,22.5667,59.5289,Sur Plaza Hotel
475,Darnah,LY,71.6,few clouds,32.767,22.6367,فندق الفردوس
476,Spring,US,83.05,broken clouds,30.0799,-95.4172,Comfort Suites Old Town Spring
477,Luganville,VU,83.34,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
478,Jodhpur,IN,80.29,overcast clouds,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
483,Kieta,PG,85.41,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
484,Panukulan,PH,76.95,heavy intensity rain,14.9333,121.8144,AC Lodging House
487,Lantawan,PH,83.89,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
488,Aden,YE,87.53,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
490,Cessnock,AU,70.56,clear sky,-32.8333,151.35,Hunter Valley Motel
491,Port Moresby,PG,89.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
493,Jacareacanga,BR,76.41,clear sky,-6.2222,-57.7528,Casa do Ian😎
494,Yatou,CN,72.54,scattered clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
495,Shibetsu,JP,74.1,few clouds,43.659,145.132,Hotel Kawabata Shibetsu
502,Mattru,SL,72.03,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
504,Dicabisagan,PH,80.06,light rain,17.0818,122.4157,Nancy Montanes Bernardo
507,San Francisco,US,79.68,few clouds,37.7749,-122.4194,Edwardian Hotel
509,Serra Talhada,BR,75.51,clear sky,-7.9919,-38.2983,Pousada São Luiz
511,Touros,BR,77.88,few clouds,-5.1989,-35.4608,INN NEW HORIZON
514,Leland,US,71.96,clear sky,34.2563,-78.0447,Leland Station
518,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
519,Auki,SB,82.9,scattered clouds,-8.7676,160.7034,Auki Motel
520,Pemangkat,ID,84.79,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
522,Uchiza,PE,71.13,scattered clouds,-8.4592,-76.4633,Hotel San Pedro
527,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
528,Diebougou,BF,72.54,moderate rain,10.9667,-3.25,Famille Isola (Alhadj Ismaïl )
530,Puerto Leguizamo,CO,71.94,overcast clouds,-0.1934,-74.7819,la casona de juancho
533,Daru,PG,82.22,broken clouds,-9.0763,143.2092,Daru Lodge
536,Magdalena,PH,82.35,moderate rain,14.1999,121.429,Samparada & Gestiada Residences
540,Roxana,CR,79.03,broken clouds,10.2753,-83.7513,Alcohólicos anónimos de Roxana
542,Port Keats,AU,89.73,clear sky,-14.25,129.55,Kardu Durrikardu Numida Hostel
543,Terenos,BR,74.91,clear sky,-20.4422,-54.8603,Familia Martins Farias
549,Santa Rosa,PH,83.1,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
554,Santa Cruz,BO,72.86,smoke,-17.8,-63.1667,Aviador Hotel Boutique
556,Taloqan,AF,73.4,clear sky,36.7361,69.5345,Saraisang street
559,Xihe,CN,72.45,overcast clouds,31.6864,113.4659,Junyi Apartment Guest Room
561,Dharmanagar,IN,84.74,broken clouds,24.3667,92.1667,Juri Lodge
563,Lazaro Cardenas,MX,79.48,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
